Value Date,Trade Name,Trade Currency,Zero Rate Shock,TV,Expiry Bucket,Expiry Date,Tenor Bucket,Vega
02/09/2022,dummyTrade2,USD,10,-214309.757,1y,04/09/2023,10y,1.99670931
02/09/2022,dummyTrade2,USD,25,-211816.2608,1y,04/09/2023,10y,10.26176755
02/09/2022,dummyTrade2,USD,50,-206874.9273,1y,04/09/2023,10y,20.99995706
02/09/2022,dummyTrade2,USD,75,-200251.019,1y,04/09/2023,10y,27.3057347
02/09/2022,dummyTrade2,USD,100,-190159.2197,1y,04/09/2023,10y,39.05676341
02/09/2022,dummyTrade3,USD,-100,-226544.4595,1y,04/09/2023,10y,-46.80789456
02/09/2022,dummyTrade3,USD,-50,-221205.4108,1y,04/09/2023,10y,-45.93354545
02/09/2022,dummyTrade3,USD,-25,-217879.5176,1y,04/09/2023,10y,-52.25507404
02/09/2022,dummyTrade3,USD,-10,-215660.0142,1y,04/09/2023,10y,-54.54574127
02/09/2022,dummyTrade3,USD,-5,-214877.7424,1y,04/09/2023,10y,-52.91594389
02/09/2022,dummyTrade3,USD,0,-214068.7108,1y,04/09/2023,10y,-53.82223943
02/09/2022,dummyTrade3,USD,5,-213234.2771,1y,04/09/2023,10y,-58.52053922
02/09/2022,dummyTrade3,USD,10,-212371.6697,1y,04/09/2023,10y,-45.69394647
02/09/2022,dummyTrade3,USD,25,-209591.5699,1y,04/09/2023,10y,-43.88685214
02/09/2022,dummyTrade3,USD,50,-203956.0442,1y,04/09/2023,10y,-39.94230504
02/09/2022,dummyTrade3,USD,75,-196272.3348,1y,04/09/2023,10y,-15.60701011
02/09/2022,dummyTrade3,USD,100,-184748.8238,1y,04/09/2023,10y,45.89642395
02/09/2022,dummyTrade4,USD,-100,-226808.3315,1y,04/09/2023,10y,-44.53248554
02/09/2022,dummyTrade4,USD,-50,-221555.8081,1y,04/09/2023,10y,-44.9047133
02/09/2022,dummyTrade4,USD,-25,-218273.4149,1y,04/09/2023,10y,-49.7003206
02/09/2022,dummyTrade4,USD,-10,-216075.4802,1y,04/09/2023,10y,-55.04886347
02/09/2022,dummyTrade4,USD,-5,-215300.379,1y,04/09/2023,10y,-49.2196653
02/09/2022,dummyTrade4,USD,0,-214502.3303,1y,04/09/2023,10y,-55.50572936
02/09/2022,dummyTrade4,USD,5,-213680.122,1y,04/09/2023,10y,-54.42779182
02/09/2022,dummyTrade4,USD,10,-212824.3975,1y,04/09/2023,10y,-49.96270409
02/09/2022,dummyTrade4,USD,25,-210067.3072,1y,04/09/2023,10y,-48.71361447
02/09/2022,dummyTrade4,USD,50,-204458.3028,1y,04/09/2023,10y,-31.34414885
02/09/2022,dummyTrade4,USD,75,-196794.6208,1y,04/09/2023,10y,0.0178937
02/09/2022,dummyTrade4,USD,100,-185264.6044,1y,04/09/2023,10y,32.3207371
02/09/2022,dummyTrade5,USD,-100,-223988.5065,1y,04/09/2023,10y,-7.10461655
02/09/2022,dummyTrade5,USD,-50,-219464.7169,1y,04/09/2023,10y,-4.4474489
02/09/2022,dummyTrade5,USD,-25,-216232.0345,1y,04/09/2023,10y,-6.53215124
02/09/2022,dummyTrade5,USD,-10,-213971.8244,1y,04/09/2023,10y,-9.69082273
02/09/2022,dummyTrade5,USD,-5,-213166.4625,1y,04/09/2023,10y,-10.68184835
02/09/2022,dummyTrade5,USD,0,-212330.582,1y,04/09/2023,10y,-9.86478262
02/09/2022,dummyTrade5,USD,5,-211467.1673,1y,04/09/2023,10y,-7.73882576
02/09/2022,dummyTrade5,USD,10,-210567.1885,1y,04/09/2023,10y,-10.71997823
02/09/2022,dummyTrade5,USD,25,-207641.5728,1y,04/09/2023,10y,-8.16189533
02/09/2022,dummyTrade5,USD,50,-201717.9231,1y,04/09/2023,10y,-12.92495654
02/09/2022,dummyTrade5,USD,75,-193788.9589,1y,04/09/2023,10y,-14.3878743
02/09/2022,dummyTrade5,USD,100,-182298.8104,1y,04/09/2023,10y,-8.53794196
02/09/2022,dummyTrade6,USD,-100,-224125.1313,1y,04/09/2023,10y,-6.83473428
02/09/2022,dummyTrade6,USD,-50,-219636.0773,1y,04/09/2023,10y,-5.56397256
02/09/2022,dummyTrade6,USD,-25,-216429.7775,1y,04/09/2023,10y,-5.52229927
02/09/2022,dummyTrade6,USD,-10,-214198.4025,1y,04/09/2023,10y,-8.38519668
02/09/2022,dummyTrade6,USD,-5,-213398.7559,1y,04/09/2023,10y,-7.99660391
02/09/2022,dummyTrade6,USD,0,-212567.2816,1y,04/09/2023,10y,-7.48703654
02/09/2022,dummyTrade6,USD,5,-211705.7851,1y,04/09/2023,10y,-6.69276602
02/09/2022,dummyTrade6,USD,10,-210809.4446,1y,04/09/2023,10y,-8.27255147
02/09/2022,dummyTrade6,USD,25,-207889.7237,1y,04/09/2023,10y,-8.39230058
02/09/2022,dummyTrade6,USD,50,-201968.7276,1y,04/09/2023,10y,-12.14524759
02/09/2022,dummyTrade6,USD,75,-194075.2122,1y,04/09/2023,10y,-11.47304433
02/09/2022,dummyTrade6,USD,100,-182578.7242,1y,04/09/2023,10y,-10.72217901
02/09/2022,dummyTrade7,USD,-100,-677481.2691,1y,04/09/2023,10y,-148.8881091
02/09/2022,dummyTrade7,USD,-50,-652240.7277,1y,04/09/2023,10y,-85.66936514
02/09/2022,dummyTrade7,USD,-25,-635718.1689,1y,04/09/2023,10y,-90.22246681
02/09/2022,dummyTrade7,USD,-10,-624421.7668,1y,04/09/2023,10y,-79.00815107
02/09/2022,dummyTrade7,USD,-5,-620428.5186,1y,04/09/2023,10y,-81.30383574
02/09/2022,dummyTrade7,USD,0,-616276.7763,1y,04/09/2023,10y,-22.3211124
02/09/2022,dummyTrade7,USD,5,-611953.3314,1y,04/09/2023,10y,-86.97420024
02/09/2022,dummyTrade7,USD,10,-607455.576,1y,04/09/2023,10y,-129.3660145
02/09/2022,dummyTrade7,USD,25,-592860.8099,1y,04/09/2023,10y,-98.58727548
02/09/2022,dummyTrade7,USD,50,-564227.3709,1y,04/09/2023,10y,28.14995756
02/09/2022,dummyTrade7,USD,75,-527747.6564,1y,04/09/2023,10y,91.33835742
02/09/2022,dummyTrade7,USD,100,-480146.9554,1y,04/09/2023,10y,227.7922049
02/09/2022,dummyTrade8,USD,-100,-678374.3212,1y,04/09/2023,10y,-117.4239762
02/09/2022,dummyTrade8,USD,-50,-653383.1949,1y,04/09/2023,10y,-114.9750662
02/09/2022,dummyTrade8,USD,-25,-636955.9974,1y,04/09/2023,10y,-102.5108097
02/09/2022,dummyTrade8,USD,-10,-625685.1286,1y,04/09/2023,10y,-139.2018819
02/09/2022,dummyTrade8,USD,-5,-621678.7092,1y,04/09/2023,10y,-62.07873063
02/09/2022,dummyTrade8,USD,0,-617544.4322,1y,04/09/2023,10y,-36.41331443
02/09/2022,dummyTrade8,USD,5,-613256.8345,1y,04/09/2023,10y,-44.47196117
02/09/2022,dummyTrade8,USD,10,-608776.6824,1y,04/09/2023,10y,-89.40488923
02/09/2022,dummyTrade8,USD,25,-594256.6853,1y,04/09/2023,10y,-91.00873292
02/09/2022,dummyTrade8,USD,50,-565566.813,1y,04/09/2023,10y,-34.86881221
02/09/2022,dummyTrade8,USD,75,-529235.226,1y,04/09/2023,10y,158.1909498
02/09/2022,dummyTrade8,USD,100,-481488.5161,1y,04/09/2023,10y,159.6081525
02/09/2022,dummyTrade9,USD,-100,-672195.1673,1y,04/09/2023,10y,-75.76779649
02/09/2022,dummyTrade9,USD,-50,-648929.937,1y,04/09/2023,10y,-42.75361898
02/09/2022,dummyTrade9,USD,-25,-633405.1556,1y,04/09/2023,10y,-49.62412391
02/09/2022,dummyTrade9,USD,-10,-622774.7291,1y,04/09/2023,10y,-30.16088174
02/09/2022,dummyTrade9,USD,-5,-618981.1441,1y,04/09/2023,10y,-40.38763281
02/09/2022,dummyTrade9,USD,0,-615048.7029,1y,04/09/2023,10y,-52.67419356
02/09/2022,dummyTrade9,USD,5,-610978.5764,1y,04/09/2023,10y,-67.13398845
02/09/2022,dummyTrade9,USD,10,-606713.6953,1y,04/09/2023,10y,-84.52543504
02/09/2022,dummyTrade9,USD,25,-592893.4945,1y,04/09/2023,10y,-106.5284357
02/09/2022,dummyTrade9,USD,50,-565826.0939,1y,04/09/2023,10y,-90.87862407
02/09/2022,dummyTrade9,USD,75,-531374.3034,1y,04/09/2023,10y,-107.2333103
02/09/2022,dummyTrade9,USD,100,-486080.7366,1y,04/09/2023,10y,8.9398942
02/09/2022,dummyTrade1,USD,-100,-227907.0988,1y,04/09/2023,15y,-1.17482405
02/09/2022,dummyTrade1,USD,-50,-222208.401,1y,04/09/2023,15y,-0.73871301
02/09/2022,dummyTrade1,USD,-25,-218960.928,1y,04/09/2023,15y,-1.19761698
02/09/2022,dummyTrade1,USD,-10,-216872.4301,1y,04/09/2023,15y,-1.35293278
02/09/2022,dummyTrade1,USD,-5,-216146.3103,1y,04/09/2023,15y,-1.26322662
02/09/2022,dummyTrade1,USD,0,-215402.6562,1y,04/09/2023,15y,-1.2719096
02/09/2022,dummyTrade1,USD,5,-214640.4941,1y,04/09/2023,15y,-1.25749806
02/09/2022,dummyTrade1,USD,10,-213858.4524,1y,04/09/2023,15y,-1.36704047
02/09/2022,dummyTrade1,USD,25,-211345.8047,1y,04/09/2023,15y,-1.74556093
02/09/2022,dummyTrade1,USD,50,-206384.346,1y,04/09/2023,15y,-2.11767825
02/09/2022,dummyTrade1,USD,75,-199714.2936,1y,04/09/2023,15y,-2.60443995
02/09/2022,dummyTrade1,USD,100,-189622.2591,1y,04/09/2023,15y,-2.17124231
02/09/2022,dummyTrade10,USD,-100,-672928.6729,1y,04/09/2023,15y,-141.9389762
02/09/2022,dummyTrade10,USD,-50,-650078.9227,1y,04/09/2023,15y,-170.9682447
02/09/2022,dummyTrade10,USD,-25,-634657.4381,1y,04/09/2023,15y,-156.1458184
02/09/2022,dummyTrade10,USD,-10,-624022.6605,1y,04/09/2023,15y,-208.1701117
02/09/2022,dummyTrade10,USD,-5,-620231.3514,1y,04/09/2023,15y,-174.2546421
02/09/2022,dummyTrade10,USD,0,-616299.3692,1y,04/09/2023,15y,-126.6635238
02/09/2022,dummyTrade10,USD,5,-612233.3924,1y,04/09/2023,15y,-144.6355747
02/09/2022,dummyTrade10,USD,10,-608000.1809,1y,04/09/2023,15y,-153.5765378
02/09/2022,dummyTrade10,USD,25,-594209.3613,1y,04/09/2023,15y,-83.04297062
02/09/2022,dummyTrade10,USD,50,-567220.1964,1y,04/09/2023,15y,52.13296812
02/09/2022,dummyTrade10,USD,75,-532894.9917,1y,04/09/2023,15y,121.1838691
02/09/2022,dummyTrade10,USD,100,-487549.4308,1y,04/09/2023,15y,105.8857428
02/09/2022,dummyTrade11,USD,-100,-656205.6759,1y,04/09/2023,15y,-192.4441487
02/09/2022,dummyTrade11,USD,-50,-638618.8708,1y,04/09/2023,15y,-224.5254837
02/09/2022,dummyTrade11,USD,-25,-625046.6749,1y,04/09/2023,15y,-227.6562826
02/09/2022,dummyTrade11,USD,-10,-615560.882,1y,04/09/2023,15y,-199.7945171
02/09/2022,dummyTrade11,USD,-5,-612195.2539,1y,04/09/2023,15y,-198.7745175
02/09/2022,dummyTrade11,USD,0,-608678.011,1y,04/09/2023,15y,-179.4415987
02/09/2022,dummyTrade11,USD,5,-605011.4122,1y,04/09/2023,15y,-210.1561646
02/09/2022,dummyTrade11,USD,10,-601217.9259,1y,04/09/2023,15y,-201.2472423
02/09/2022,dummyTrade11,USD,25,-588957.1544,1y,04/09/2023,15y,-187.9810339
02/09/2022,dummyTrade11,USD,50,-564839.0675,1y,04/09/2023,15y,-136.3393884
02/09/2022,dummyTrade11,USD,75,-534769.3519,1y,04/09/2023,15y,-27.40680329
02/09/2022,dummyTrade11,USD,100,-495925.008,1y,04/09/2023,15y,26.68237253
02/09/2022,dummyTrade12,USD,-100,-656693.4699,1y,04/09/2023,15y,-219.0425319
02/09/2022,dummyTrade12,USD,-50,-639220.4691,1y,04/09/2023,15y,-216.4957972
02/09/2022,dummyTrade12,USD,-25,-625704.7231,1y,04/09/2023,15y,-222.5567072
02/09/2022,dummyTrade12,USD,-10,-616280.6867,1y,04/09/2023,15y,-193.0930983
02/09/2022,dummyTrade12,USD,-5,-612895.6644,1y,04/09/2023,15y,-202.8615619
02/09/2022,dummyTrade12,USD,0,-609360.6624,1y,04/09/2023,15y,-239.2999456
02/09/2022,dummyTrade12,USD,5,-605697.9146,1y,04/09/2023,15y,-224.6457965
02/09/2022,dummyTrade12,USD,10,-601903.9338,1y,04/09/2023,15y,-230.1500746
02/09/2022,dummyTrade12,USD,25,-589625.7192,1y,04/09/2023,15y,-195.7143885
02/09/2022,dummyTrade12,USD,50,-565587.1948,1y,04/09/2023,15y,-116.492971
02/09/2022,dummyTrade12,USD,75,-535514.5526,1y,04/09/2023,15y,4.15295185
02/09/2022,dummyTrade12,USD,100,-496774.34,1y,04/09/2023,15y,6.64319625
02/09/2022,dummyTrade2,USD,-100,-228174.0202,1y,04/09/2023,15y,-1.14343174
02/09/2022,dummyTrade2,USD,-50,-222566.5913,1y,04/09/2023,15y,-0.75202326
02/09/2022,dummyTrade2,USD,-25,-219360.3687,1y,04/09/2023,15y,-1.08123914
02/09/2022,dummyTrade2,USD,-10,-217288.0377,1y,04/09/2023,15y,-1.31745196
02/09/2022,dummyTrade2,USD,-5,-216570.262,1y,04/09/2023,15y,-1.17529224
02/09/2022,dummyTrade2,USD,0,-215836.7872,1y,04/09/2023,15y,-1.23599274
02/09/2022,dummyTrade2,USD,5,-215084.8514,1y,04/09/2023,15y,-1.20604081
02/09/2022,dummyTrade2,USD,10,-214309.757,1y,04/09/2023,15y,-1.29202917
02/09/2022,dummyTrade2,USD,25,-211816.2608,1y,04/09/2023,15y,-1.7509749
02/09/2022,dummyTrade2,USD,50,-206874.9273,1y,04/09/2023,15y,-2.10545028
02/09/2022,dummyTrade2,USD,75,-200251.019,1y,04/09/2023,15y,-2.38890614
02/09/2022,dummyTrade2,USD,100,-190159.2197,1y,04/09/2023,15y,-2.39011838
02/09/2022,dummyTrade3,USD,-100,-226544.4595,1y,04/09/2023,15y,-8.11377417
02/09/2022,dummyTrade3,USD,-50,-221205.4108,1y,04/09/2023,15y,-9.10814125
02/09/2022,dummyTrade3,USD,-25,-217879.5176,1y,04/09/2023,15y,-9.05957808
02/09/2022,dummyTrade3,USD,-10,-215660.0142,1y,04/09/2023,15y,-9.22885538
02/09/2022,dummyTrade3,USD,-5,-214877.7424,1y,04/09/2023,15y,-9.42774988
02/09/2022,dummyTrade3,USD,0,-214068.7108,1y,04/09/2023,15y,-9.84692706
02/09/2022,dummyTrade3,USD,5,-213234.2771,1y,04/09/2023,15y,-9.72948987
02/09/2022,dummyTrade3,USD,10,-212371.6697,1y,04/09/2023,15y,-5.78358366
02/09/2022,dummyTrade3,USD,25,-209591.5699,1y,04/09/2023,15y,-6.01342847
02/09/2022,dummyTrade3,USD,50,-203956.0442,1y,04/09/2023,15y,-4.48959722
02/09/2022,dummyTrade3,USD,75,-196272.3348,1y,04/09/2023,15y,-2.13589804
02/09/2022,dummyTrade3,USD,100,-184748.8238,1y,04/09/2023,15y,11.63102831
02/09/2022,dummyTrade4,USD,-100,-226808.3315,1y,04/09/2023,15y,-7.51274076
02/09/2022,dummyTrade4,USD,-50,-221555.8081,1y,04/09/2023,15y,-8.96600815
02/09/2022,dummyTrade4,USD,-25,-218273.4149,1y,04/09/2023,15y,-8.53971824
02/09/2022,dummyTrade4,USD,-10,-216075.4802,1y,04/09/2023,15y,-9.72971549
02/09/2022,dummyTrade4,USD,-5,-215300.379,1y,04/09/2023,15y,-8.47313492
02/09/2022,dummyTrade4,USD,0,-214502.3303,1y,04/09/2023,15y,-9.8082324
02/09/2022,dummyTrade4,USD,5,-213680.122,1y,04/09/2023,15y,-9.15678449
02/09/2022,dummyTrade4,USD,10,-212824.3975,1y,04/09/2023,15y,-5.59736615
02/09/2022,dummyTrade4,USD,25,-210067.3072,1y,04/09/2023,15y,-7.11299979
02/09/2022,dummyTrade4,USD,50,-204458.3028,1y,04/09/2023,15y,-3.62507825
02/09/2022,dummyTrade4,USD,75,-196794.6208,1y,04/09/2023,15y,1.34646594
02/09/2022,dummyTrade4,USD,100,-185264.6044,1y,04/09/2023,15y,5.6566072
02/09/2022,dummyTrade5,USD,-100,-223988.5065,1y,04/09/2023,15y,-56.20533001
02/09/2022,dummyTrade5,USD,-50,-219464.7169,1y,04/09/2023,15y,-50.97299255
02/09/2022,dummyTrade5,USD,-25,-216232.0345,1y,04/09/2023,15y,-57.07886728
02/09/2022,dummyTrade5,USD,-10,-213971.8244,1y,04/09/2023,15y,-53.73918445
02/09/2022,dummyTrade5,USD,-5,-213166.4625,1y,04/09/2023,15y,-58.7461506
02/09/2022,dummyTrade5,USD,0,-212330.582,1y,04/09/2023,15y,-63.09925118
02/09/2022,dummyTrade5,USD,5,-211467.1673,1y,04/09/2023,15y,-60.69601876
02/09/2022,dummyTrade5,USD,10,-210567.1885,1y,04/09/2023,15y,-59.33101308
02/09/2022,dummyTrade5,USD,25,-207641.5728,1y,04/09/2023,15y,-49.15859472
02/09/2022,dummyTrade5,USD,50,-201717.9231,1y,04/09/2023,15y,-54.63738109
02/09/2022,dummyTrade5,USD,75,-193788.9589,1y,04/09/2023,15y,-25.14260148
02/09/2022,dummyTrade5,USD,100,-182298.8104,1y,04/09/2023,15y,3.52145602
02/09/2022,dummyTrade6,USD,-100,-224125.1313,1y,04/09/2023,15y,-57.11362053
02/09/2022,dummyTrade6,USD,-50,-219636.0773,1y,04/09/2023,15y,-53.02906926
02/09/2022,dummyTrade6,USD,-25,-216429.7775,1y,04/09/2023,15y,-56.02166055
02/09/2022,dummyTrade6,USD,-10,-214198.4025,1y,04/09/2023,15y,-63.24569673
02/09/2022,dummyTrade6,USD,-5,-213398.7559,1y,04/09/2023,15y,-61.26080525
02/09/2022,dummyTrade6,USD,0,-212567.2816,1y,04/09/2023,15y,-58.25146103
02/09/2022,dummyTrade6,USD,5,-211705.7851,1y,04/09/2023,15y,-64.41133911
02/09/2022,dummyTrade6,USD,10,-210809.4446,1y,04/09/2023,15y,-61.83783767
02/09/2022,dummyTrade6,USD,25,-207889.7237,1y,04/09/2023,15y,-56.06373771
02/09/2022,dummyTrade6,USD,50,-201968.7276,1y,04/09/2023,15y,-54.06885718
02/09/2022,dummyTrade6,USD,75,-194075.2122,1y,04/09/2023,15y,-23.72457869
02/09/2022,dummyTrade6,USD,100,-182578.7242,1y,04/09/2023,15y,10.4426213
02/09/2022,dummyTrade7,USD,-100,-677481.2691,1y,04/09/2023,15y,-93.54131015
02/09/2022,dummyTrade7,USD,-50,-652240.7277,1y,04/09/2023,15y,-115.7144404
02/09/2022,dummyTrade7,USD,-25,-635718.1689,1y,04/09/2023,15y,-59.01084542
02/09/2022,dummyTrade7,USD,-10,-624421.7668,1y,04/09/2023,15y,-100.8589279
02/09/2022,dummyTrade7,USD,-5,-620428.5186,1y,04/09/2023,15y,-60.47055864
02/09/2022,dummyTrade7,USD,0,-616276.7763,1y,04/09/2023,15y,-85.4291325
02/09/2022,dummyTrade7,USD,5,-611953.3314,1y,04/09/2023,15y,-78.53285949
02/09/2022,dummyTrade7,USD,10,-607455.576,1y,04/09/2023,15y,-85.58798275
02/09/2022,dummyTrade7,USD,25,-592860.8099,1y,04/09/2023,15y,-32.69932969
02/09/2022,dummyTrade7,USD,50,-564227.3709,1y,04/09/2023,15y,30.07137903
02/09/2022,dummyTrade7,USD,75,-527747.6564,1y,04/09/2023,15y,115.2742428
02/09/2022,dummyTrade7,USD,100,-480146.9554,1y,04/09/2023,15y,41.169149
02/09/2022,dummyTrade8,USD,-100,-678374.3212,1y,04/09/2023,15y,-116.9458025
02/09/2022,dummyTrade8,USD,-50,-653383.1949,1y,04/09/2023,15y,-104.3278332
02/09/2022,dummyTrade8,USD,-25,-636955.9974,1y,04/09/2023,15y,-86.80696404
02/09/2022,dummyTrade8,USD,-10,-625685.1286,1y,04/09/2023,15y,-33.68542066
02/09/2022,dummyTrade8,USD,-5,-621678.7092,1y,04/09/2023,15y,-53.63721539
02/09/2022,dummyTrade8,USD,0,-617544.4322,1y,04/09/2023,15y,-69.28836891
02/09/2022,dummyTrade8,USD,5,-613256.8345,1y,04/09/2023,15y,-83.17170146
02/09/2022,dummyTrade8,USD,10,-608776.6824,1y,04/09/2023,15y,-64.30991037
02/09/2022,dummyTrade8,USD,25,-594256.6853,1y,04/09/2023,15y,-19.23354745
02/09/2022,dummyTrade8,USD,50,-565566.813,1y,04/09/2023,15y,34.28089672
02/09/2022,dummyTrade8,USD,75,-529235.226,1y,04/09/2023,15y,114.2061988
02/09/2022,dummyTrade8,USD,100,-481488.5161,1y,04/09/2023,15y,58.38977708
02/09/2022,dummyTrade9,USD,-100,-672195.1673,1y,04/09/2023,15y,-173.3613153
02/09/2022,dummyTrade9,USD,-50,-648929.937,1y,04/09/2023,15y,-160.2407351
02/09/2022,dummyTrade9,USD,-25,-633405.1556,1y,04/09/2023,15y,-150.5704017
02/09/2022,dummyTrade9,USD,-10,-622774.7291,1y,04/09/2023,15y,-175.4729503
02/09/2022,dummyTrade9,USD,-5,-618981.1441,1y,04/09/2023,15y,-162.0552765
02/09/2022,dummyTrade9,USD,0,-615048.7029,1y,04/09/2023,15y,-173.3342867
02/09/2022,dummyTrade9,USD,5,-610978.5764,1y,04/09/2023,15y,-152.559398
02/09/2022,dummyTrade9,USD,10,-606713.6953,1y,04/09/2023,15y,-122.3321208
02/09/2022,dummyTrade9,USD,25,-592893.4945,1y,04/09/2023,15y,-72.66881257
02/09/2022,dummyTrade9,USD,50,-565826.0939,1y,04/09/2023,15y,-15.91166038
02/09/2022,dummyTrade9,USD,75,-531374.3034,1y,04/09/2023,15y,132.699795
02/09/2022,dummyTrade9,USD,100,-486080.7366,1y,04/09/2023,15y,153.8014325
02/09/2022,dummyTrade1,USD,-100,-227907.0988,1y,04/09/2023,18M,0
02/09/2022,dummyTrade1,USD,-50,-222208.401,1y,04/09/2023,18M,0
02/09/2022,dummyTrade1,USD,-25,-218960.928,1y,04/09/2023,18M,0
02/09/2022,dummyTrade1,USD,-10,-216872.4301,1y,04/09/2023,18M,0
02/09/2022,dummyTrade1,USD,-5,-216146.3103,1y,04/09/2023,18M,0
02/09/2022,dummyTrade1,USD,0,-215402.6562,1y,04/09/2023,18M,0
02/09/2022,dummyTrade1,USD,5,-214640.4941,1y,04/09/2023,18M,0
